"FID_1","FREQUENCY","AGG","AGGLAT","AGGLONG","ERA","SLOPE","REGION","Rowid","X","Y","SRTMv4","H_BIO_1","C_BIO_1","H_BIO_12","C_BIO_12","H_BIO_5","C_BIO_5","H_BIO_6","C_BIO_6","nr_elv_b1","nr_elv_b12","nr_elv_b5","nr_elv_b6"
61,10,"LAHistoricLymans",40.3096,-121.7678,"H","W","LA",62,-150236.8755,256247.3364,1050.525268,1283,1285,81032.89063,95780.53906,3209.805175,3183.52124,-24.084835,63.779815,1236.33704453441,1406.96255060729,2565.78802588997,2129.87384259259
62,3,"LAHistoricManton",40.425439,-121.889271,"H","W","LA",63,-160302.5298,269308.5582,564.411132,1534,1579,72116.85156,87320.69531,3557.284179,3536.480224,93.893226,250.279617,1399.96255060729,1424.47368421053,2629.34186939821,2099.1291810842
63,2,"LAHistoricManzanitaLake",40.5314,-121.5648,"H","W","LA",64,-132579.8995,280572.0166,1790.466796,662,639,90251.01563,103491.7188,2636.748535,2605.633544,-760.955078,-689.962341,623.64401622718,1360.79107505071,2303.77628635347,2262.14519427403
64,2,"LAHistoricMineral3",40.337764,-121.596129,"H","W","LA",65,-135596.0647,259115.9697,1477.66333,820,771,121032.0078,141133.5938,2821.105224,2783.10791,-538.154113,-519.451843,587.522312373225,1421.33333333333,2473.62857142857,2317.9552238806
65,7,"LAHistoricMineralSummitCreek1",40.3489,-121.5878,"H","W","LA",66,-134867.8396,260340.6648,1514.352294,785,737,121880.2891,142052.5469,2780.557861,2741.848876,-583.641967,-564.442443,700.571862348178,1349.79268292683,1626,2400.27684563758
66,4,"LAHistoricMineralSummitCreek2",40.3628,-121.5663,"H","W","LA",67,-133016.2786,261853.777,1550.079345,728,684,126082.2031,146783.1563,2744.924072,2706.152099,-654.673706,-628.226684,770.638663967611,1355.27918781726,1922.96578538103,2439.67777777778
67,4,"LAHistoricNFredonyerPeak",40.801001,-120.61175,"H","E","LA",68,-51639.55816,309577.6822,1711.364379,694,707,31514.58203,33389.92969,2843.318359,2823.207519,-881.965332,-710.188415,857.744939271255,1449.54674796748,2117.92218543046,2561.13861386139
68,4,"LAHistoricNObservationPeak1",40.86135,-120.17049,"H","E","LA",69,-14378.78553,316123.3842,1628.222045,734,766,25371.58008,28893.19336,2944.365478,2937.230712,-1003.844909,-773.414062,641.325227963526,1450.11303462322,2353.76056338028,2264.76801801802
69,6,"LAHistoricPetesValley",40.52927,-120.46209,"H","E","LA",70,-39153.21825,279336.7801,1381.582763,913,919,30602.96484,31529.16797,3141.628173,3122.380615,-803.565856,-654.644287,997.204453441296,1665.07715736041,2576.94542536116,2534.25846501129
70,4,"LAHistoricRedBluff1",40.1339,-122.2061,"H","W","LA",71,-187934.1705,237518.3944,91.571395,1682,1701,51736.14844,66096.82031,3722.461425,3628.425048,195.802505,309.98114,783.303643724696,1377.26016260163,1715.89962358846,2444.59173553719
71,1,"LAHistoricRedBluff2",40.24038,-122.110955,"H","W","LA",72,-179566.9292,249157.8915,230.262832,1605,1643,63642.07422,79460.10156,3612.298828,3557.201416,152.790039,304.694152,1180.21862348178,1541.89260385005,2554.08059210526,2209.81477139508
72,2,"LAHistoricRedBluff3",40.1707,-122.1254,"H","W","LA",73,-180968.9713,241447.8867,89.825149,1676,1698,53572.875,68118.57813,3714.334472,3629.450439,184.806869,304.1315,1958.25989847716,1406.32591093117,1509.09568261377,2052.35944700461
73,11,"LAHistoricRedBluff4",40.190329,-122.225207,"H","W","LA",74,-189414.4826,243822.5161,83.213935,1682,1701,53293.56641,68032.03906,3705.349853,3624.790771,185.771316,296.939636,3042.18439716312,1475.07085020243,1798.17105263158,1852.34125636672
74,1,"LAHistoricRedBluff5",40.212178,-122.229766,"H","W","LA",75,-189745.416,246257.7529,89.268058,1682,1701,55690.40234,70461.83594,3695.548583,3618.773925,185.864425,299.493804,3019.45896656535,1662.41582150101,1794.54774972558,1852.34125636672
75,2,"LAHistoricRedBluff6",40.322164,-122.285572,"H","W","LA",76,-194198.9776,258582.9251,176.98439,1643,1672,66610.51563,82697.35156,3671.539062,3634.43457,165.527511,283.589538,3154.51776649746,2718.31675126904,1884.71782762692,1851.1197301855
76,2,"LAHistoricSWRavendale",40.6969,-120.409,"H","E","LA",77,-34574.47295,297928.4338,1716.792724,736,748,32251.88281,33906.92578,2863.236816,2848.0708,-829.146789,-662.239257,2247.55634517766,778.217922606925,2215.99436090226,1961.32790988736
77,4,"LAHistoricTermo",40.8915,-120.4564,"H","E","LA",78,-38477.49651,319549.891,1630.919677,659,706,23811.74023,25182.82031,2961.351318,2949.612792,-1100.660644,-871.301757,853.021255060729,1683.99695431472,2150.68634064081,2553.10640732265
78,1,"LAHistoricTurners",40.30825,-121.738116,"H","W","LA",79,-147717.189,256050.7845,1146.906127,1223,1228,84921.22656,99915.85156,3139.116699,3111.663085,-74.89286,24.721372,733.045546558704,1619.20385395538,2281.38074398249,2560.71094710947
79,1,"LAHistoricWarnerCreek1",40.459693,-121.441843,"H","W","LA",80,-122284.0339,272445.0688,2084.836669,598,564,232992.625,262335.5625,2449.193115,2402.611083,-741.84082,-695.085876,1152.75506072874,1580.91084093212,2593.97585768742,2298.45945945946
80,4,"LAHistoricWarnerCreek2",40.463512,-121.471967,"H","W","LA",81,-124832.1142,272908.3696,2261.664794,511,475,248862.9844,282762.2813,2265.964355,2222.392822,-733.904296,-737.427062,1537.71935157042,1513.44028340081,2313.3536121673,2051.65092165899
81,7,"LAHistoricWillowLake",40.405237,-121.365727,"H","W","LA",82,-115916.0755,266302.7414,1653.95227,690,688,123663.5547,141138.3906,2745.626708,2690.129394,-779.737304,-635.958129,2858.82370820669,1661.06389452333,1780.95364238411,1852.04545454545
82,3,"LAHistoricWRedRockPO",40.8995,-120.25399,"H","E","LA",83,-21410.19638,320373.9836,1623.17749,689,738,24660.64063,27328.41602,2952.218017,2941.289306,-1054.175781,-796.367492,1150.7520242915,1473.71255060729,2578.00753768844,2368.16106604867
83,5,"LAModernBaileyCreek",40.805722,-120.610026,"M","E","LA",84,-51490.65714,310100.8287,1731.012939,702,719,30850.56836,32588.73438,2862.461669,2842.757812,-912.291503,-717.161621,1289.06680161943,1452.40688259109,2585.58133669609,2131.97677119628
84,2,"LAModernBattleCreek",40.34945,-121.631705,"M","W","LA",85,-138595.7498,260465.0576,1495.393432,835,787,123398.1172,142794.1719,2786.009277,2750.880371,-497.733764,-477.022247,1066.19129554656,1435.61032388664,2633.70498614958,2422.51032110092
85,2,"LAModernBattleCreekMeadows",40.33948,-121.609185,"M","W","LA",86,-136701.8806,259325.269,1468.201049,820,772,121347.8672,141089.4688,2824.046142,2786.805664,-534.630615,-514.218505,2885.39372469636,1620.77608915907,1765.91089108911,1852.34125636672
86,4,"LAModernBluffFalls",40.412202,-121.531905,"M","W","LA",87,-130006.9107,267291.6594,1974.907714,651,614,206215.3906,237624.9531,2461.356689,2425.641845,-649.260131,-620.035217,2750.08629441624,1647.78194726166,1798.33406352683,1874.85592185592
87,2,"LAModernButteLake",40.562405,-121.29966,"M","W","LA",88,-110069.7051,283675.1166,1849.016723,616,614,77267.03906,91693.10156,2644.942138,2599.085205,-848.830688,-715.000122,2885.39372469636,1620.77608915907,1765.91089108911,1852.34125636672
88,1,"LAModernCoyoteCreek",40.09325,-122.22687,"M","W","LA",89,-189809.2671,233045.6759,92.390357,1678,1698,51017.39453,64932.80469,3726.840332,3629.715332,195.824295,300.859588,2425.06997971602,1434.29655870445,1507.61709601874,1780.77551020408
89,1,"LAModernCoyoteFlat",40.88974,-120.26846,"M","E","LA",90,-22633.0794,319293.9533,1620.707031,695,743,23742.44922,26133.42969,2956.839355,2948.693115,-1052.021972,-796.605529,3159.57360406091,2671.60182370821,1998.48810872027,1852.34125636672
90,2,"LAModernDalesLake",40.330645,-122.072605,"M","W","LA",91,-176086.075,259108.6935,209.856811,1656,1685,62168.59766,77732.5,3670.218261,3629.204589,200.624816,317.63626,1533.14690982776,1597.81762917933,2568.53156565657,1762.02895054282
91,2,"LAModernDodgeRanch",40.89014,-120.17355,"M","E","LA",92,-14631.02955,319319.7019,1631.74121,728,764,26407.48242,30056.15039,2947.732421,2936.410644,-994.781311,-756.681335,1678.77484787018,1771.36409736308,1288.3323943662,2240.95985832349
92,2,"LAModernDodgeReservoir",40.96926,-120.135055,"M","E","LA",93,-11372.97616,328096.7099,1762.266479,655,700,35987.80469,42485.6875,2775.903076,2764.220703,-913.868469,-688.752075,1682.63488843813,1622.98577235772,2278.9325044405,1962.54383886256
93,2,"LAModernDrakesbad",40.444655,-121.4085,"M","W","LA",94,-119481.1762,270732.793,1750.055664,638,633,156503.3438,177542.75,2682.944824,2633.132324,-801.577087,-692.360168,2326.37385086823,1840.20182555781,1507.95774647887,1617.64899713467
94,2,"LAModernEagleLakeBrockman",40.59293,-120.844295,"M","W","LA",95,-71475.03761,286628.3216,1590.503417,728,741,63111.24219,73730.83594,2938.687988,2907.757568,-957.357849,-768.332031,2326.37385086823,1840.20182555781,1507.95774647887,1617.64899713467
95,2,"LAModernEagleLakeMerrillCreek",40.552305,-120.814665,"M","W","LA",96,-69005.45019,282095.6548,1558.725952,742,759,59808.78125,69581.77344,2944.249023,2922.365722,-938.472229,-746.715332,3126.7799188641,1452.97664974619,1779.68351648352,1852.34125636672
96,2,"LAModernEagleLakePapooseMeadow",40.525815,-120.76727,"M","W","LA",97,-65014.73002,279120.7954,1626.312744,751,760,59940.92578,69244.09375,2882.932373,2854.146972,-889.548645,-720.534057,3165.31573604061,2331.63866396761,1930.23617511521,1852.34125636672
97,3,"LAModernEagleLakePineCreek",40.66796,-120.78612,"M","W","LA",98,-66481.11307,294916.3804,1568.468872,745,764,43966.51172,48017.52734,2961.43872,2923.993164,-951.528747,-750.654174,548.871196754564,1166.78014184397,2393.34653465347,2396.5086042065
98,4,"LAModernHelenEmeraldLakes",40.469727,-121.513978,"M","W","LA",99,-128383.6255,273654.5458,2498.85913,332,312,254302.6875,292500.5938,2085.33374,2049.760498,-904.480407,-898.280822,3166.94822335025,1417.72469635628,1818.91574279379,1852.34125636672
99,1,"LAModernHogLake",40.28261,-122.12289,"M","W","LA",100,-180476.9954,253869.6966,269.907867,1622,1666,63617.23438,79513.94531,3658.989746,3612.069824,179.379821,324.325103,3179.44929006085,1558.24771573604,1975.21714285714,1852.34125636672
100,1,"LAModernHorneRanch",40.82822,-120.13889,"M","E","LA",101,-11718.8875,312441.3079,1646.741455,723,752,28087.98047,32899.62891,2910.188964,2903.140869,-998.991455,-779.837524,3195.56910569106,1629.6656504065,1977.85446527012,1852.34125636672
101,2,"LAModernJellysFerry",40.319965,-122.18149,"M","W","LA",102,-185362.5726,258130.4257,105.637695,1632,1657,57632.9375,72770.90625,3674.144531,3624.634033,154.593719,265.264282,558.961460446247,1070.95532994924,2401.92171717172,2402.09920634921
102,2,"LAModernKingsCreekFalls",40.45971,-121.44478,"M","W","LA",103,-122533.0778,272450.7484,2099.721923,571,524,243960.7969,275158.5,2386.148681,2339.767089,-733.379577,-709.685974,557.019269776876,1064.37258883249,2401.14180929095,2407.31150793651
103,4,"LAModernLymanSprings",40.31124,-121.764275,"M","W","LA",104,-149933.9457,256423.8656,1046.930297,1283,1285,81032.89063,95780.53906,3209.805175,3183.52124,-24.084835,63.779815,548.871196754564,1166.78014184397,2393.34653465347,2396.5086042065
104,1,"LAModernManzanitaLake",40.53759,-121.57018,"M","W","LA",105,-133024.3069,281266.8021,1790.642944,671,647,89695.03125,102737.3828,2651.145996,2620.582763,-761.394409,-690.373596,3124.6430020284,1516.66802030457,1772.20552486188,1852.34125636672
105,1,"LAModernObservationPeak1",40.86155,-120.1599,"M","E","LA",106,-13485.54019,316144.0293,1630.512695,736,767,25644.11328,29345.60547,2945.635498,2937.235351,-994.155761,-762.539611,3159.25279187817,1448.10829959514,1859.31014150943,1852.34125636672
106,1,"LAModernObservationPeak2",40.84532,-120.17653,"M","E","LA",107,-14891.53927,314344.8585,1631.49707,733,764,25613.77344,28826.62109,2945.337402,2940.009765,-1013.111694,-789.096557,3195.56910569106,1565.2152284264,1931.72647702407,1852.34125636672
107,1,"LAModernPaynesCreek",40.30254,-122.10614,"M","W","LA",108,-179004.0566,256050.8802,167.763153,1648,1680,62548.91406,78308.32813,3679.964599,3634.808105,182.45964,311.058135,1444.0991902834,1474.89979757085,2604.29246487867,2082.56912442396
108,3,"LAModernPetesValley",40.526137,-120.465513,"M","E","LA",109,-39444.96562,278990.3098,1380.787109,910,916,31691.9375,32703.11133,3133.296386,3113.899658,-799.035644,-653.485107,1108.34615384615,1666.97870182556,2634.27323943662,2325.56271981243
109,3,"LAModernPoleSpring",40.5872,-121.287017,"M","W","LA",110,-108961.6374,286413.4188,1792.628662,660,675,65093.18359,78404.72656,2716.875976,2669.653076,-846.795654,-688.951232,1655.4878296146,1476.1641337386,1302.86751592357,2366.12761020882
110,3,"LAModernReadingIsland",40.389273,-122.192203,"M","W","LA",111,-186094.7451,265846.551,110.502998,1588,1617,57228.89063,72317.91406,3645.319335,3611.466796,114.63169,222.441406,2645.24568527919,1419.5991902834,1503.90315052509,1906.6030075188
111,1,"LAModernSacramentoRBlueTentCr",40.2026,-122.21628,"M","W","LA",112,-188622.873,245167.3017,79.988998,1682,1701,53917.08594,68535.71094,3704.998046,3627.634277,185.652816,299.792144,3130.67545638945,2609.73279352227,1956.55085714286,1852.34125636672
112,1,"LAModernSacramentoRPerryRiffle",40.29721,-122.17534,"M","W","LA",113,-184898.0725,255591.8729,97.449203,1644,1670,57811.46484,72992.47656,3677.632324,3622.57788,170.402557,282.513854,1655.4878296146,1476.1641337386,1302.86751592357,2366.12761020882
113,5,"LAModernSlateCreek",40.842596,-120.769944,"M","E","LA",114,-64955.69066,314292.3631,1662.968994,675,704,37239.62891,40530.8125,2859.357666,2836.590576,-1014.517639,-787.41455,1804.7799188641,1589.13516260163,1419.41028708134,2209.81477139508
114,1,"LAModernSummitCreek",40.35804,-121.55757,"M","W","LA",115,-132283.638,261313.0021,1616.154541,728,684,126082.2031,146783.1563,2744.924072,2706.152099,-654.673706,-628.226684,2645.24568527919,1419.5991902834,1503.90315052509,1906.6030075188
115,1,"LAModernSummitCreekN",40.3689,-121.53831,"M","W","LA",116,-130628.4582,262492.2142,1722.885986,709,671,150401.6563,173788.2813,2635.045166,2597.298095,-597.92749,-573.161315,2644.71878172589,1488.97061803445,1520.76779463244,1911.88575667656
116,1,"LAModernTuledadRd",40.92563,-120.13857,"M","E","LA",117,-11676.08105,323254.3105,1695.653076,719,760,30459.70508,35420.48438,2889.939941,2883.288574,-928.686767,-694.247436,2404.46639511202,1804.99797160243,1468.47212741752,1365.66180758018
117,2,"LAModernUpperKingsCreekMdw",40.46521,-121.4764,"M","W","LA",118,-125205.0975,273102.7513,2275.902832,511,475,248862.9844,282762.2813,2265.964355,2222.392822,-733.904296,-737.427062,2265.52797558494,1399.13461538462,1504.99883449883,1686.6322418136
118,5,"LAModernVasquezRanch",40.436528,-121.875444,"M","W","LA",119,-159105.1118,270516.4655,597.303955,1509,1543,74472.65625,89955.03906,3512.508056,3493.597412,86.331016,230.28038,2249.16345177665,1422.22773279352,1544.45100354191,1700.30759951749
119,2,"LAModernWillowLake",40.40586,-121.362885,"M","W","LA",120,-115673.8805,266368.4492,1657.133178,675,669,117361.6641,134313,2656.259521,2600.672363,-741.825134,-610.345397,2397.98472505092,784.6484295846,1437.15981012658,1781.82973621103
120,2,"LAModernWilsonLake",40.344115,-121.439425,"M","W","LA",121,-122273.8387,259608.1035,1663.544311,720,709,102611.6797,118677.9375,2768.540527,2712.893066,-739.950012,-617.433044,2228.28077314344,1486.3515704154,1510.90665110852,1598.72955288986
164,2,"SSHistoricAsterLake",36.600145,-118.674825,"H","W","SS",165,118387.4234,-156598.3281,2854.565673,401,427,117271.7188,130940.2969,1804.300292,1838.94226,-924.527099,-837.829956,2334.60510204082,797.191489361702,1671.29026548673,1840.6140776699
165,3,"SSHistoricBakersfield",35.419839,-119.008768,"H","W","SS",166,89926.51126,-288095.7182,138.832504,1796,1834,16595.76172,17586.13867,3801.74414,3666.898681,196.259445,317.224639,2265.52797558494,1399.13461538462,1504.99883449883,1686.6322418136
166,6,"SSHistoricBodfish",35.600131,-118.496674,"H","W","SS",167,136063.3377,-267461.3162,721.058166,1645,1687,27487.04297,28438.16406,3612.890625,3628.577148,-0.266604,60.853038,2397.98472505092,784.6484295846,1437.15981012658,1781.82973621103
167,3,"SSHistoricBroderMonacheMeadow",36.16332,-118.18188,"H","W","SS",168,163351.5218,-204403.3835,2423.734619,517,567,49014.35156,56520.04688,2322.817626,2404.242919,-1001.249206,-926.58673,2225.90946083418,790.565349544073,2284.03374777975,1652.79836512262
168,2,"SSHistoricBubbsCreek",36.763891,-118.406272,"H","W","SS",169,142070.9825,-138032.3876,3040.200683,196,252,79172.36719,81151.32813,1757.249633,1883.233398,-1251.436645,-1146.079589,743.664979757085,1535.84787018256,1634.08344370861,2481.85467625899
169,4,"SSHistoricBullfrogLake",36.772973,-118.403983,"H","W","SS",170,142258.0196,-137019.6683,3248.513671,53,123,92826.01563,95247.83594,1527.445312,1633.330322,-1343.749633,-1212.180664,3130.67545638945,2609.73279352227,1956.55085714286,1852.34125636672
170,4,"SSHistoricCannellMeadow",35.825082,-118.36717,"H","W","SS",171,147352.9408,-242281.5978,2268.452636,757,830,74808.96094,84761.36719,2408.10498,2470.170654,-466.235717,-334.542816,2483.76883910387,2167.21356275304,1471,1499.91310344828
171,9,"SSHistoricCarrollCreek",36.5051,-118.10244,"H","E","SS",172,169727.8098,-166290.1932,1699.118041,1098,1189,20669.80078,22437.35156,2923.978027,3007.007812,-393.164306,-206.330368,110.918864097363,1243.31034482759,2612.42280285036,2243.63231197772
172,2,"SSHistoricCirquePeak",36.461735,-118.238346,"H","W","SS",173,157662.7364,-171343.2884,3502.545166,21,81,55848.76563,55217.64844,1591.046752,1674.107177,-1367.780761,-1239.286865,112.722278738555,1290.6331300813,2612.42280285036,2228.98774885145
173,6,"SSHistoricCottonwoodLakes",36.498147,-118.220007,"H","W","SS",174,159227.8487,-167266.7299,3382.558837,19,96,52468.45703,54124.92188,1591.882202,1680.528198,-1397.516723,-1255.330566,2461.62970498474,2064.22874493927,1454.81214848144,1476.75203252033
174,10,"SSHistoricCrabtreeMeadowWhitneyCreek",36.551234,-118.35854,"H","W","SS",175,146734.7266,-161591.3356,3146.682861,160,196,58428.49609,58767.51953,1873.948974,1928.622192,-1321.370849,-1211.306762,3191.7076142132,1445.63157894737,1991.57696566999,1852.34125636672
175,1,"SSHistoricDryMeadows",36.214523,-118.25257,"H","W","SS",176,156896.1975,-198834.1405,2623.892333,309,366,60218.73047,68649.89063,2047.676025,2107.350585,-1172.465454,-1058.443481,505.260162601626,1019.19593908629,2441.16591928251,2394.0546875
176,2,"SSHistoricDunlap",36.717103,-119.132257,"H","W","SS",177,77404.59069,-144072.5496,636.060058,1575,1651,64323.5625,71975.38281,3470.309082,3485.226318,106.874198,273.040466,548.871196754564,1143.61561866126,2403.7990430622,2405.35515873016
177,2,"SSHistoricDusyLake",37.102299,-118.555,"H","W","SS",178,128240.7142,-100634.596,3452.819091,13,50,96433.77344,107105.3203,1427.791503,1439.161376,-1294.031982,-1166.09729,384.012182741117,746.36012207528,2519.31639722864,2428.33393501805
178,1,"SSHistoricEvolutionLake",37.1686,-118.6933,"H","W","SS",179,115866.2342,-93443.5513,3312.861816,-113,-66,93006.98438,88527.22656,1347.798217,1354.240112,-1528.56958,-1359.093505,401.843654822335,754.889114954222,2514.46666666667,2421.0349907919
179,4,"SSHistoricFlowerHeartLake",36.769543,-118.356112,"H","W","SS",180,146531.067,-137327.9368,3175.476074,163,240,73698.09375,82138.48438,1707.569946,1829.754516,-1203.571289,-1050.134399,2247.55634517766,1073.76852791878,2310.3602058319,1991.6944801027
180,1,"SSHistoricHockettTrail1",36.49339,-118.13676,"H","E","SS",181,166684.041,-167652.2175,2609.522949,411,484,38297.50781,40839.13281,2007.92871,2087.642089,-999.658996,-863.111145,2487.23625254582,1367.69857433809,1280.03180661578,1909.95288753799
181,1,"SSHistoricHockettTrail2",36.49415,-118.09586,"H","E","SS",182,170340.7162,-167495.0765,1999.891235,1082,1169,20946.21289,22751.94141,2906.357421,2988.68164,-394.470458,-214.543106,2281.61405295316,1447.93724696356,1469.24651162791,1660.64252336449
182,1,"SSHistoricHockettTrail3",36.477695,-118.137275,"H","E","SS",183,166672.2434,-169397.0405,3036.121093,234,305,42389.32813,43805.27734,1787.34851,1866.405151,-1160.176269,-1034.990722,2655.30425963489,2211.57388663968,1780.52973568282,1879.79069767442
183,1,"SSHistoricHockettTrail4",36.49577,-118.1123,"H","E","SS",184,168866.6459,-167344.4836,2281.146728,864,943,24499.82031,26585.99609,2633.037597,2718.001464,-570.528991,-413.584533,533.335025380711,1115.17139959432,2405.04235294118,2409.07407407407
184,1,"SSHistoricHockettTrail5",36.49732,-118.11483,"H","E","SS",185,168636.9278,-167176.7618,2137.771972,864,943,24499.82031,26585.99609,2633.037597,2718.001464,-570.528991,-413.584533,1114.10728744939,1448.10829959514,2631.15754339119,2299.58401880141
185,5,"SSHistoricHorseCorralMeadow",36.74744,-118.75404,"H","W","SS",186,111095.929,-140324.9638,2312.607421,444,483,81843.67969,94326.22656,2174.498046,2206.454589,-1122.514648,-1009.308837,2236.62195121951,1915.64032421479,1544.66823529412,1683.45641025641
186,2,"SSHistoricHumeLake",36.787727,-118.913013,"H","W","SS",187,96870.58801,-136021.9111,1591.895996,884,939,83661.39063,95411.74219,2724.206787,2754.749755,-607.931152,-428.513641,2900.30769230769,2256.42510121458,1819.70810210877,1875.08183306056
187,4,"SSHistoricHumphreysBasin",37.2653,-118.7056,"H","W","SS",188,114628.9098,-82710.38753,3460.103759,22,67,96382.6875,92821.60156,1592.409667,1598.894165,-1343.724365,-1200.791015,2015.77912867275,1426.68218623482,1537.09422850412,1725.04921968788
188,3,"SSHistoricJackassMeadow",36.092861,-118.2262,"H","W","SS",189,159516.4968,-212306.5494,2364.476562,586,664,40738.21484,46352.61328,2311.33374,2396.364746,-818.458435,-684.683105,2976.56680161943,2239.11842105263,1845.99887514061,1852.04545454545
189,3,"SSHistoricJordanHotSprings",36.229654,-118.30169,"H","W","SS",190,152456.2621,-197233.1821,1984.489868,727,804,54138.6875,61985.625,2525.817382,2584.212646,-728.04364,-663.134765,3168.15329949239,1518.21985815603,1969.40457142857,1852.34125636672
190,1,"SSHistoricKearsargePass",36.7725,-118.3761,"H","E","SS",191,144743.9589,-137030.0298,3575.227539,-40,34,96073.38281,101209.4063,1373.733032,1484.880004,-1391.881958,-1261.535766,2973.19939271255,1622.74340770791,1776.05647840532,1852.34125636672
191,2,"SSHistoricKiavahMountainScodieMountains",35.682227,-118.085094,"H","E","SS",192,173125.6901,-257672.1191,2006.22998,1196,1226,28901.58789,30313.73242,3091.717529,3119.402832,41.437194,67.33393,3074.52887537994,1448.94105691057,1768.79314159292,1852.34125636672
192,3,"SSHistoricKingsRiverCanyon",36.7938,-118.581,"H","W","SS",193,126446.6695,-134955.9543,1532.922363,1024,1102,84300.97656,95607.01563,2849.366455,2891.563476,-462.255432,-394.630828,3161.61015228426,1506.06585612969,1823.89788732394,1852.34125636672
193,4,"SSHistoricLittleBrushMeadowOlanchaPeak",36.2541,-118.13,"H","W","SS",194,167813.1709,-194227.1813,3005.20996,207,279,48921.38672,49185.12891,1768.8125,1848.796875,-1141.203369,-1029.593261,3190.40812182741,1755.12462006079,1861.77895981087,1852.34125636672
194,9,"SSHistoricLittleCottonwoodCreek",36.47914,-118.128635,"H","W","SS",195,167442.0552,-169221.2588,2996.871582,267,338,39452.39063,41492.08594,1824.891967,1905.013183,-1119.529907,-996.875488,3168.23045685279,1666.57926829268,1917.05,1852.34125636672
195,3,"SSHistoricLittlePeteMeadow",37.101522,-118.5958,"H","W","SS",196,124621.3797,-100775.3632,2761.333251,353,393,57127.62891,60001.15625,2048.556396,2034.453002,-1174.856323,-1018.076293,2783.7261663286,1436.26985743381,1442.30264672037,1852.99663865546
196,3,"SSHistoricMcClureColbyMeadows",37.1713,-118.7024,"H","W","SS",197,115055.2801,-93154.53395,3292.531005,1,51,88545.69531,83934.01563,1510.383789,1510.41333,-1515.481201,-1356.397583,3045.02431610942,1347.15853658537,1832.44103773585,1874.25695581015
