FID_1,FREQUENCY,AGG,AGGLAT,AGGLONG,ERA,SLOPE,REGION,Rowid,X,Y,SRTMv4,H_BIO_1,C_BIO_1,H_BIO_12,C_BIO_12,H_BIO_5,C_BIO_5,H_BIO_6,C_BIO_6
88,1,LAModernCoyoteCreek,40.09325,-122.22687,M,W,LA,89,-189809.2671,233045.6759,92.390357,1678,1698,51017.39453,64932.80469,3726.840332,3629.715332,195.824295,300.859588
89,1,LAModernCoyoteFlat,40.88974,-120.26846,M,E,LA,90,-22633.0794,319293.9533,1620.707031,695,743,23742.44922,26133.42969,2956.839355,2948.693115,-1052.021972,-796.605529
90,2,LAModernDalesLake,40.330645,-122.072605,M,W,LA,91,-176086.075,259108.6935,209.856811,1656,1685,62168.59766,77732.5,3670.218261,3629.204589,200.624816,317.63626
91,2,LAModernDodgeRanch,40.89014,-120.17355,M,E,LA,92,-14631.02955,319319.7019,1631.74121,728,764,26407.48242,30056.15039,2947.732421,2936.410644,-994.781311,-756.681335
92,2,LAModernDodgeReservoir,40.96926,-120.135055,M,E,LA,93,-11372.97616,328096.7099,1762.266479,655,700,35987.80469,42485.6875,2775.903076,2764.220703,-913.868469,-688.752075
93,2,LAModernDrakesbad,40.444655,-121.4085,M,W,LA,94,-119481.1762,270732.793,1750.055664,638,633,156503.3438,177542.75,2682.944824,2633.132324,-801.577087,-692.360168
94,2,LAModernEagleLakeBrockman,40.59293,-120.844295,M,W,LA,95,-71475.03761,286628.3216,1590.503417,728,741,63111.24219,73730.83594,2938.687988,2907.757568,-957.357849,-768.332031
95,2,LAModernEagleLakeMerrillCreek,40.552305,-120.814665,M,W,LA,96,-69005.45019,282095.6548,1558.725952,742,759,59808.78125,69581.77344,2944.249023,2922.365722,-938.472229,-746.715332
96,2,LAModernEagleLakePapooseMeadow,40.525815,-120.76727,M,W,LA,97,-65014.73002,279120.7954,1626.312744,751,760,59940.92578,69244.09375,2882.932373,2854.146972,-889.548645,-720.534057
97,3,LAModernEagleLakePineCreek,40.66796,-120.78612,M,W,LA,98,-66481.11307,294916.3804,1568.468872,745,764,43966.51172,48017.52734,2961.43872,2923.993164,-951.528747,-750.654174
98,4,LAModernHelenEmeraldLakes,40.469727,-121.513978,M,W,LA,99,-128383.6255,273654.5458,2498.85913,332,312,254302.6875,292500.5938,2085.33374,2049.760498,-904.480407,-898.280822
99,1,LAModernHogLake,40.28261,-122.12289,M,W,LA,100,-180476.9954,253869.6966,269.907867,1622,1666,63617.23438,79513.94531,3658.989746,3612.069824,179.379821,324.325103
100,1,LAModernHorneRanch,40.82822,-120.13889,M,E,LA,101,-11718.8875,312441.3079,1646.741455,723,752,28087.98047,32899.62891,2910.188964,2903.140869,-998.991455,-779.837524
101,2,LAModernJellysFerry,40.319965,-122.18149,M,W,LA,102,-185362.5726,258130.4257,105.637695,1632,1657,57632.9375,72770.90625,3674.144531,3624.634033,154.593719,265.264282
102,2,LAModernKingsCreekFalls,40.45971,-121.44478,M,W,LA,103,-122533.0778,272450.7484,2099.721923,571,524,243960.7969,275158.5,2386.148681,2339.767089,-733.379577,-709.685974
103,4,LAModernLymanSprings,40.31124,-121.764275,M,W,LA,104,-149933.9457,256423.8656,1046.930297,1283,1285,81032.89063,95780.53906,3209.805175,3183.52124,-24.084835,63.779815
104,1,LAModernManzanitaLake,40.53759,-121.57018,M,W,LA,105,-133024.3069,281266.8021,1790.642944,671,647,89695.03125,102737.3828,2651.145996,2620.582763,-761.394409,-690.373596
105,1,LAModernObservationPeak1,40.86155,-120.1599,M,E,LA,106,-13485.54019,316144.0293,1630.512695,736,767,25644.11328,29345.60547,2945.635498,2937.235351,-994.155761,-762.539611
106,1,LAModernObservationPeak2,40.84532,-120.17653,M,E,LA,107,-14891.53927,314344.8585,1631.49707,733,764,25613.77344,28826.62109,2945.337402,2940.009765,-1013.111694,-789.096557
107,1,LAModernPaynesCreek,40.30254,-122.10614,M,W,LA,108,-179004.0566,256050.8802,167.763153,1648,1680,62548.91406,78308.32813,3679.964599,3634.808105,182.45964,311.058135
108,3,LAModernPetesValley,40.526137,-120.465513,M,E,LA,109,-39444.96562,278990.3098,1380.787109,910,916,31691.9375,32703.11133,3133.296386,3113.899658,-799.035644,-653.485107
109,3,LAModernPoleSpring,40.5872,-121.287017,M,W,LA,110,-108961.6374,286413.4188,1792.628662,660,675,65093.18359,78404.72656,2716.875976,2669.653076,-846.795654,-688.951232
110,3,LAModernReadingIsland,40.389273,-122.192203,M,W,LA,111,-186094.7451,265846.551,110.502998,1588,1617,57228.89063,72317.91406,3645.319335,3611.466796,114.63169,222.441406
111,1,LAModernSacramentoRBlueTentCr,40.2026,-122.21628,M,W,LA,112,-188622.873,245167.3017,79.988998,1682,1701,53917.08594,68535.71094,3704.998046,3627.634277,185.652816,299.792144
112,1,LAModernSacramentoRPerryRiffle,40.29721,-122.17534,M,W,LA,113,-184898.0725,255591.8729,97.449203,1644,1670,57811.46484,72992.47656,3677.632324,3622.57788,170.402557,282.513854
113,5,LAModernSlateCreek,40.842596,-120.769944,M,E,LA,114,-64955.69066,314292.3631,1662.968994,675,704,37239.62891,40530.8125,2859.357666,2836.590576,-1014.517639,-787.41455
114,1,LAModernSummitCreek,40.35804,-121.55757,M,W,LA,115,-132283.638,261313.0021,1616.154541,728,684,126082.2031,146783.1563,2744.924072,2706.152099,-654.673706,-628.226684
115,1,LAModernSummitCreekN,40.3689,-121.53831,M,W,LA,116,-130628.4582,262492.2142,1722.885986,709,671,150401.6563,173788.2813,2635.045166,2597.298095,-597.92749,-573.161315
116,1,LAModernTuledadRd,40.92563,-120.13857,M,E,LA,117,-11676.08105,323254.3105,1695.653076,719,760,30459.70508,35420.48438,2889.939941,2883.288574,-928.686767,-694.247436
117,2,LAModernUpperKingsCreekMdw,40.46521,-121.4764,M,W,LA,118,-125205.0975,273102.7513,2275.902832,511,475,248862.9844,282762.2813,2265.964355,2222.392822,-733.904296,-737.427062
118,5,LAModernVasquezRanch,40.436528,-121.875444,M,W,LA,119,-159105.1118,270516.4655,597.303955,1509,1543,74472.65625,89955.03906,3512.508056,3493.597412,86.331016,230.28038
119,2,LAModernWillowLake,40.40586,-121.362885,M,W,LA,120,-115673.8805,266368.4492,1657.133178,675,669,117361.6641,134313,2656.259521,2600.672363,-741.825134,-610.345397
120,2,LAModernWilsonLake,40.344115,-121.439425,M,W,LA,121,-122273.8387,259608.1035,1663.544311,720,709,102611.6797,118677.9375,2768.540527,2712.893066,-739.950012,-617.433044
164,2,SSHistoricAsterLake,36.600145,-118.674825,H,W,SS,165,118387.4234,-156598.3281,2854.565673,401,427,117271.7188,130940.2969,1804.300292,1838.94226,-924.527099,-837.829956
165,3,SSHistoricBakersfield,35.419839,-119.008768,H,W,SS,166,89926.51126,-288095.7182,138.832504,1796,1834,16595.76172,17586.13867,3801.74414,3666.898681,196.259445,317.224639
166,6,SSHistoricBodfish,35.600131,-118.496674,H,W,SS,167,136063.3377,-267461.3162,721.058166,1645,1687,27487.04297,28438.16406,3612.890625,3628.577148,-0.266604,60.853038
167,3,SSHistoricBroderMonacheMeadow,36.16332,-118.18188,H,W,SS,168,163351.5218,-204403.3835,2423.734619,517,567,49014.35156,56520.04688,2322.817626,2404.242919,-1001.249206,-926.58673
168,2,SSHistoricBubbsCreek,36.763891,-118.406272,H,W,SS,169,142070.9825,-138032.3876,3040.200683,196,252,79172.36719,81151.32813,1757.249633,1883.233398,-1251.436645,-1146.079589
169,4,SSHistoricBullfrogLake,36.772973,-118.403983,H,W,SS,170,142258.0196,-137019.6683,3248.513671,53,123,92826.01563,95247.83594,1527.445312,1633.330322,-1343.749633,-1212.180664
170,4,SSHistoricCannellMeadow,35.825082,-118.36717,H,W,SS,171,147352.9408,-242281.5978,2268.452636,757,830,74808.96094,84761.36719,2408.10498,2470.170654,-466.235717,-334.542816
171,9,SSHistoricCarrollCreek,36.5051,-118.10244,H,E,SS,172,169727.8098,-166290.1932,1699.118041,1098,1189,20669.80078,22437.35156,2923.978027,3007.007812,-393.164306,-206.330368
172,2,SSHistoricCirquePeak,36.461735,-118.238346,H,W,SS,173,157662.7364,-171343.2884,3502.545166,21,81,55848.76563,55217.64844,1591.046752,1674.107177,-1367.780761,-1239.286865
173,6,SSHistoricCottonwoodLakes,36.498147,-118.220007,H,W,SS,174,159227.8487,-167266.7299,3382.558837,19,96,52468.45703,54124.92188,1591.882202,1680.528198,-1397.516723,-1255.330566
174,10,SSHistoricCrabtreeMeadowWhitneyCreek,36.551234,-118.35854,H,W,SS,175,146734.7266,-161591.3356,3146.682861,160,196,58428.49609,58767.51953,1873.948974,1928.622192,-1321.370849,-1211.306762
175,1,SSHistoricDryMeadows,36.214523,-118.25257,H,W,SS,176,156896.1975,-198834.1405,2623.892333,309,366,60218.73047,68649.89063,2047.676025,2107.350585,-1172.465454,-1058.443481
176,2,SSHistoricDunlap,36.717103,-119.132257,H,W,SS,177,77404.59069,-144072.5496,636.060058,1575,1651,64323.5625,71975.38281,3470.309082,3485.226318,106.874198,273.040466
177,2,SSHistoricDusyLake,37.102299,-118.555,H,W,SS,178,128240.7142,-100634.596,3452.819091,13,50,96433.77344,107105.3203,1427.791503,1439.161376,-1294.031982,-1166.09729
178,1,SSHistoricEvolutionLake,37.1686,-118.6933,H,W,SS,179,115866.2342,-93443.5513,3312.861816,-113,-66,93006.98438,88527.22656,1347.798217,1354.240112,-1528.56958,-1359.093505
179,4,SSHistoricFlowerHeartLake,36.769543,-118.356112,H,W,SS,180,146531.067,-137327.9368,3175.476074,163,240,73698.09375,82138.48438,1707.569946,1829.754516,-1203.571289,-1050.134399
180,1,SSHistoricHockettTrail1,36.49339,-118.13676,H,E,SS,181,166684.041,-167652.2175,2609.522949,411,484,38297.50781,40839.13281,2007.92871,2087.642089,-999.658996,-863.111145
181,1,SSHistoricHockettTrail2,36.49415,-118.09586,H,E,SS,182,170340.7162,-167495.0765,1999.891235,1082,1169,20946.21289,22751.94141,2906.357421,2988.68164,-394.470458,-214.543106
182,1,SSHistoricHockettTrail3,36.477695,-118.137275,H,E,SS,183,166672.2434,-169397.0405,3036.121093,234,305,42389.32813,43805.27734,1787.34851,1866.405151,-1160.176269,-1034.990722
183,1,SSHistoricHockettTrail4,36.49577,-118.1123,H,E,SS,184,168866.6459,-167344.4836,2281.146728,864,943,24499.82031,26585.99609,2633.037597,2718.001464,-570.528991,-413.584533
184,1,SSHistoricHockettTrail5,36.49732,-118.11483,H,E,SS,185,168636.9278,-167176.7618,2137.771972,864,943,24499.82031,26585.99609,2633.037597,2718.001464,-570.528991,-413.584533
185,5,SSHistoricHorseCorralMeadow,36.74744,-118.75404,H,W,SS,186,111095.929,-140324.9638,2312.607421,444,483,81843.67969,94326.22656,2174.498046,2206.454589,-1122.514648,-1009.308837
186,2,SSHistoricHumeLake,36.787727,-118.913013,H,W,SS,187,96870.58801,-136021.9111,1591.895996,884,939,83661.39063,95411.74219,2724.206787,2754.749755,-607.931152,-428.513641
187,4,SSHistoricHumphreysBasin,37.2653,-118.7056,H,W,SS,188,114628.9098,-82710.38753,3460.103759,22,67,96382.6875,92821.60156,1592.409667,1598.894165,-1343.724365,-1200.791015
188,3,SSHistoricJackassMeadow,36.092861,-118.2262,H,W,SS,189,159516.4968,-212306.5494,2364.476562,586,664,40738.21484,46352.61328,2311.33374,2396.364746,-818.458435,-684.683105
189,3,SSHistoricJordanHotSprings,36.229654,-118.30169,H,W,SS,190,152456.2621,-197233.1821,1984.489868,727,804,54138.6875,61985.625,2525.817382,2584.212646,-728.04364,-663.134765
190,1,SSHistoricKearsargePass,36.7725,-118.3761,H,E,SS,191,144743.9589,-137030.0298,3575.227539,-40,34,96073.38281,101209.4063,1373.733032,1484.880004,-1391.881958,-1261.535766
191,2,SSHistoricKiavahMountainScodieMountains,35.682227,-118.085094,H,E,SS,192,173125.6901,-257672.1191,2006.22998,1196,1226,28901.58789,30313.73242,3091.717529,3119.402832,41.437194,67.33393
192,3,SSHistoricKingsRiverCanyon,36.7938,-118.581,H,W,SS,193,126446.6695,-134955.9543,1532.922363,1024,1102,84300.97656,95607.01563,2849.366455,2891.563476,-462.255432,-394.630828
193,4,SSHistoricLittleBrushMeadowOlanchaPeak,36.2541,-118.13,H,W,SS,194,167813.1709,-194227.1813,3005.20996,207,279,48921.38672,49185.12891,1768.8125,1848.796875,-1141.203369,-1029.593261
194,9,SSHistoricLittleCottonwoodCreek,36.47914,-118.128635,H,W,SS,195,167442.0552,-169221.2588,2996.871582,267,338,39452.39063,41492.08594,1824.891967,1905.013183,-1119.529907,-996.875488
195,3,SSHistoricLittlePeteMeadow,37.101522,-118.5958,H,W,SS,196,124621.3797,-100775.3632,2761.333251,353,393,57127.62891,60001.15625,2048.556396,2034.453002,-1174.856323,-1018.076293
196,3,SSHistoricMcClureColbyMeadows,37.1713,-118.7024,H,W,SS,197,115055.2801,-93154.53395,3292.531005,1,51,88545.69531,83934.01563,1510.383789,1510.41333,-1515.481201,-1356.397583
197,3,SSHistoricMillCreek,35.530586,-118.622159,H,W,SS,198,124819.1089,-275358.0051,764.568054,1592,1610,42117.00781,46108.82031,3551.54541,3548.456054,89.143295,106.519393
198,2,SSHistoricMinkler,36.7166,-119.4641,H,W,SS,199,47804.62565,-144347.5762,117.597549,1705,1775,29447.94141,32607.59961,3818.041748,3712.968017,174.470489,299.246154
199,1,SSHistoricMitchellPeak,36.732308,-118.713693,H,W,SS,200,114716.0299,-141958.6137,3127.824707,334,383,85755.16406,97265.8125,1658.787963,1710.451049,-962.916442,-847.949523
200,2,SSHistoricMooseLake,36.600674,-118.637441,H,W,SS,201,121726.1016,-156492.2018,3213.820068,235,269,121178.4922,138368.875,1657.978149,1699.320068,-1146.045043,-1054.213134
201,1,SSHistoricMtGould,36.78039,-118.37854,H,W,SS,202,144511.4987,-136156.9345,3939.965332,-155,-80,103556.4531,106927.1563,1220.898559,1332.225463,-1530.065429,-1400.952148
202,3,SSHistoricOlanchaPeakwestslope,36.259758,-118.123273,H,W,SS,203,168404.3219,-193586.6425,3286.684082,94,165,50748.67188,50419.54297,1643.337158,1726.277221,-1270.998168,-1164.425415
203,7,SSHistoricOnionValley,36.774383,-118.331046,H,W,SS,204,148755.6567,-136751.036,2690.016357,436,510,54933.05859,60454.34766,2160.842041,2278.53125,-1109.465209,-946.376892
204,4,SSHistoricOnyx,35.685739,-118.21827,H,E,SS,205,161079.5332,-257516.7812,865.934692,1609,1656,30723.77344,31870.80078,3552.024414,3581.382812,-14.723078,47.917652
205,1,SSHistoricPiutePassofftrapline,37.231039,-118.68916,H,W,SS,206,116137.3445,-86498.4809,3600.783691,-47,-10,98607.88281,96506.125,1502.204956,1508.569824,-1409.535644,-1283.368286
206,4,SSHistoricRedrocksMeadow,36.270108,-118.271385,H,W,SS,207,155094.4464,-192689.4105,2661.955078,304,354,62414.53906,72298.0625,2086.180419,2142.761474,-1189.721313,-1120.528198
207,1,SSHistoricRockCreek,36.496066,-118.326482,H,W,SS,208,149708.3836,-167671.4385,2953.58789,164,229,56144.76172,54281.84375,1924.977783,1979.123291,-1352.718872,-1194.768432
208,2,SSHistoricSirrettaMeadows,35.942,-118.328,H,W,SS,209,150658.336,-229232.3434,2758.37207,517,569,69030.24219,78146.5625,2036.412597,2084.155761,-727.874267,-647.595275
209,5,SSHistoricSmithMeadowTroutCreek,35.96474,-118.22947,H,W,SS,210,159488.2949,-226545.0682,1860.368652,962,1008,30620.12109,33120.92969,2889.510009,2962.052001,-599.494506,-556.719604
210,4,SSHistoricTaylorMeadow,35.830658,-118.29175,H,W,SS,211,154147.2014,-241542.2964,2147.303222,814,850,69148.78906,78127.75781,2533.720947,2586.071533,-433.642456,-392.108795
211,4,SSHistoricWalkerPass05westside,35.68775,-118.049302,H,E,SS,212,176348.5304,-256992.7467,1395.433349,1382,1442,26892.125,28197.61914,3409.179687,3447.571533,-38.129978,-8.068165
212,2,SSHistoricWalkerPass06westside,35.6692,-118.0371,H,E,SS,213,177494.1214,-259030.1934,1526.797729,1385,1470,26017.14063,27308.17383,3389.075683,3423.984375,-55.912044,68.263031
213,3,SSHistoricWalkerPass07FreemanCanyoneastside,35.6501,-118.0109,H,E,SS,214,179907.3921,-261102.0765,1481.388427,1430,1517,25466.00586,26607.53906,3392.366943,3428.709228,16.540809,136.759429
214,3,SSHistoricWeldonFayCreeknorth,35.7412,-118.31,H,W,SS,215,152677.7099,-251508.4874,1261.483642,1404,1484,43960.67578,46158.26172,3258.651855,3304.17456,-8.634849,120.026718
215,5,SSHistoricWeldonsouth,35.666083,-118.28948,H,W,SS,216,154681.8552,-259818.5072,809.354003,1638,1699,27610.77734,27742.65234,3648.685058,3679.276367,-81.097114,-8.889328
216,4,SSHistoricWhitneyMeadow,36.434131,-118.2671,H,W,SS,217,155145.7156,-174457.9074,2968.678466,157,243,50025.86719,48526.01172,1999.484497,2060.280761,-1447.557983,-1311.733276
217,3,SSModernAsterLake,36.60162,-118.6779,M,W,SS,218,118110.4461,-156438.2485,2780.194335,411,438,115184.3594,128611.8047,1844.68103,1876.766723,-929.573608,-841.858215
218,2,SSModernBakersfield,35.513862,-118.870948,M,W,SS,219,102304.735,-277513.4596,269.607086,1940,1933,22574.41797,24032,3765.643554,3716.187988,461.77893,469.984771
219,2,SSModernBakersfieldJackrabbitFlat,35.49501,-119.057261,M,W,SS,220,85444.31523,-279791.7701,238.418167,1858,1875,19595.5957,20943.36328,3751.273925,3649.216796,338.520568,406.184631
220,2,SSModernBodfish0102,35.599554,-118.496725,M,W,SS,221,136059.7385,-267525.475,724.749633,1645,1687,27487.04297,28438.16406,3612.890625,3628.577148,-0.266604,60.853038
221,1,SSModernBodfish03ErskineCr,35.587765,-118.440047,M,W,SS,222,141210.6489,-268751.9522,932.073364,1439,1470,32719.11133,34359.16406,3302.20288,3318.513427,23.14204,4.536061
222,1,SSModernBodfish04SandyFlatCampground,35.587765,-118.440047,M,W,SS,222,141210.6489,-268751.9522,932.073364,1439,1470,32719.11133,34359.16406,3302.20288,3318.513427,23.14204,4.536061
223,7,SSModernBroderMonacheMeadow,36.166048,-118.191906,M,W,SS,224,162445.057,-204117.5358,2402.62622,514,564,49455.29297,57110.53125,2322.627197,2402.97705,-1012.962524,-932.088378
224,4,SSModernBullfrogLake,36.770114,-118.404074,M,W,SS,225,142255.2581,-137337.5271,3237.175048,88,154,86487.78906,89185.92969,1586.434448,1695.813842,-1323.28479,-1196.179321
225,2,SSModernCannellMeadow,35.833444,-118.370749,M,W,SS,226,147014.0285,-241358.2978,2278.330566,719,793,74731.59375,85051.08594,2354.548828,2413.725097,-505.518371,-372.174591
226,2,SSModernCarrollCreek,36.510223,-118.102954,M,E,SS,227,169670.45,-165721.8805,1716.338134,1196,1298,19798.12109,21439.98828,3041.571044,3124.109619,-294.749603,-114.807815
227,1,SSModernCottonwoodLakes,36.49873,-118.20772,M,W,SS,228,160325.6093,-167181.2431,3397.723876,23,98,51009.94922,52523.90234,1573.572265,1663.590332,-1388.387451,-1251.370483
228,6,SSModernCrabtreeMeadowWhitneyCreek,36.552653,-118.357678,M,W,SS,229,146809.0432,-161432.3208,3151.039794,160,196,58428.49609,58767.51953,1873.948974,1928.622192,-1321.370849,-1211.306762
229,3,SSModernDunlapMillCreek,36.730162,-119.11864,M,W,SS,230,78605.71188,-142609.9717,576.617309,1600,1675,60865.20703,67827.99219,3504.255615,3522.225585,117.004821,269.165893
230,1,SSModernEvolutionValley1,37.2099,-118.689,M,W,SS,231,116184.0109,-88847.86349,3640.232666,-181,-141,106140.0703,102160.8516,1285.423461,1297.103271,-1545.199096,-1401.058227
231,1,SSModernEvolutionValley2,37.1717,-118.716,M,W,SS,232,113848.8824,-93126.49238,3012.147949,151,191,81481.74219,76976.17969,1713.466674,1710.755859,-1354.587036,-1205.911865
232,1,SSModernEvolutionValley3,37.188599,-118.702,M,W,SS,233,115064.4189,-91231.29439,3440.89624,-127,-81,91155.74219,86409.78906,1422.246337,1434.623413,-1513.269531,-1367.453735
